,Year,Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social support,Family,Health,Freedom,Generosity,Trust (Government Corruption),Perceptions of corruption
0,2015,Switzerland,Western Europe,1,7.587,1.39651,,1.34951,0.94143,0.66557,0.29678,0.41978,
1,2015,Iceland,Western Europe,2,7.561,1.30232,,1.40223,0.94784,0.62877,0.4363,0.14145,
2,2015,Denmark,Western Europe,3,7.527,1.32548,,1.36058,0.87464,0.64938,0.34139,0.48357,
3,2015,Norway,Western Europe,4,7.522,1.459,,1.33095,0.88521,0.66973,0.34699,0.36503,
4,2015,Canada,North America,5,7.427,1.32629,,1.32261,0.90563,0.63297,0.45811,0.32957,
5,2015,Finland,Western Europe,6,7.406,1.29025,,1.31826,0.88911,0.64169,0.23351,0.41372,
6,2015,Netherlands,Western Europe,7,7.378,1.32944,,1.28017,0.89284,0.61576,0.4761,0.31814,
7,2015,Sweden,Western Europe,8,7.364,1.33171,,1.28907,0.91087,0.6598,0.36262,0.43844,
8,2015,New Zealand,Australia and New Zealand,9,7.286,1.25018,,1.31967,0.90837,0.63938,0.47501,0.42922,
9,2015,Australia,Australia and New Zealand,10,7.284,1.33358,,1.30923,0.93156,0.65124,0.43562,0.35637,
10,2015,Israel,Middle East and North Africa,11,7.278,1.22857,,1.22393,0.91387,0.41319,0.33172,0.07785,
11,2015,Costa Rica,Latin America and Caribbean,12,7.226,0.95578,,1.23788,0.86027,0.63376,0.25497,0.10583,
12,2015,Austria,Western Europe,13,7.2,1.33723,,1.29704,0.89042,0.62433,0.33088,0.18676,
13,2015,Mexico,Latin America and Caribbean,14,7.187,1.02054,,0.91451,0.81444,0.48181,0.14074,0.21312,
14,2015,United States,North America,15,7.119,1.39451,,1.24711,0.86179,0.54604,0.40105,0.1589,
15,2015,Brazil,Latin America and Caribbean,16,6.983,0.98124,,1.23287,0.69702,0.49049,0.14574,0.17521,
16,2015,Luxembourg,Western Europe,17,6.946,1.56391,,1.21963,0.91894,0.61583,0.28034,0.37798,
17,2015,Ireland,Western Europe,18,6.94,1.33596,,1.36948,0.89533,0.61777,0.45901,0.28703,
18,2015,Belgium,Western Europe,19,6.937,1.30782,,1.28566,0.89667,0.5845,0.2225,0.2254,
19,2015,United Arab Emirates,Middle East and North Africa,20,6.901,1.42727,,1.12575,0.80925,0.64157,0.26428,0.38583,
20,2015,United Kingdom,Western Europe,21,6.867,1.26637,,1.28548,0.90943,0.59625,0.51912,0.32067,
21,2015,Oman,Middle East and North Africa,22,6.853,1.36011,,1.08182,0.76276,0.63274,0.21542,0.32524,
